entity:ID,name
entity_0,"Graner handcuffed him to the bars of a cell window and left him there , feet dangling off the floor , for nearly five hours ."
entity_1,left
entity_2,were dangling
entity_3,"Because of this association , St. Michael was considered to be the patron saint of colonial Maryland , and as such was honored by the river being named for him ."
entity_4,was the patron saint of
entity_5,"The show was designed to appear as if the viewer was channel surfing through a multi-channel wasteland , happening upon spoof adverts , short sketches , and recurring show elements ."
entity_6,was surfing through
entity_7,was happening upon
entity_8,was happening upon recurring
entity_9,"Dr. Jagan himself was personally involved in the organization of the strike , and helped to raise funds across the country to it ."
entity_10,was personally involved in
entity_11,involved in the organization of
entity_12,was personally helped to raise
entity_13,"In 1918 , the municipality was renamed Jones in honor of American congressman William Jones , who authored the Philippine Autonomy Act of 1916 that provided for greater autonomy for the Philippines under American colonial rule ."
entity_14,was renamed
entity_15,was Jones in
entity_16,authored the Philippine Autonomy Act of
entity_17,provided for
entity_18,"Instead of ablating the tissue , the laser cuts a portion of the prostate , which is then cut into smaller pieces and flushed with irrigation fluid ."
entity_19,is ablating
entity_20,cuts a portion of
entity_21,is then cut into
entity_22,is then flushed with
entity_23,"He and his friends were said to have made bombs for fun on the outskirts of Murray , Utah ."
entity_24,have made bombs for
entity_25,"A large gravestone was erected in 1866 , over 100 years after his death ."
entity_26,was erected in
entity_27,This led morning show host Ryan Cameron to lobby for a frequency change for WHTA by putting together a petition from listeners at the risk of losing his job under Radio One 's management .
entity_28,led Ryan Cameron to
entity_29,"The Institut Constant de Rebecque is a Swiss free-market , classical liberal and libertarian think tank founded in January 2005 in Lausanne , named after writer and political philosopher Benjamin Constant ."
entity_30,was founded in
entity_31,The main reason for this adoption over mainline gimp was its support for high bit depths which can be required for film work .
entity_32,can be required for
entity_33,"The brightest star in Serpens , Alpha Serpentis , or Unukalhai , is a red giant of spectral type K2III located approximately away which marks the snake 's heart ."
entity_34,is a red giant of
entity_35,"This manual for warriors describes the necessity for understanding an opponent 's weaknesses , for using spies , and for striking in moments of weakness ."
entity_36,describes
entity_37,are striking in moments of
entity_38,are using
entity_39,striking in moments of
entity_40,are understanding
entity_41,It was club policy to promote talent into the senior team that was adopted by Bill Dimovski .
entity_42,was adopted by
entity_43,"One major difference between the two models is that the Photographic Model follows more of a step-by-step process in the development of flashbulb accounts , whereas the Comprehensive Model demonstrates an interconnected relationship between the variables ."
entity_44,follows
entity_45,demonstrates an interconnected relationship between
entity_46,"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the building ."
entity_47,were able to reinforce
entity_48,defeat several attacks on
entity_49,"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 1890s , but was killed in a feud in Grainger County before he could complete it ."
entity_50,began building
entity_51,was killed in a feud in
entity_52,"Arminius , leader of the Cherusci and allies , now had a free hand ."
entity_53,had
entity_54,were leader of
entity_55,"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media ."
entity_56,is fully reflected in
entity_57,reflected in the capital city in
entity_58,was the monastic practices of
entity_59,"`` My Classical Way '' was released on 21 September 2010 on Marc 's own label , Frazzy Frog Music ."
entity_60,was released on
entity_61,"In England and Wales , as an `` attempt '' , attempted murder is an offence under section 1 of the Criminal Attempts Act 1981 and is an indictable offence which carries a maximum penalty of life imprisonment ."
entity_62,is an offence under
entity_63,carries a maximum penalty of
entity_64,Lugo and Lozano were released in 1993 and continue to reside in Venezuela .
entity_65,were released in
entity_66,The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educationist Peter Engelmann and hardware wholesaler William Frankfurth .
entity_67,included
entity_68,The town and surrounding villages were hit by two moderate earthquakes within ten years .
entity_69,were hit by
entity_70,The theatrical flourishes and unique gimmicks she used in her stage show went beyond established burlesque routines like the fan dance and balloon dance .
entity_71,went beyond
entity_72,The Cathedral and the belfry were thoroughly renovated from 2006 to 2008 .
entity_73,were thoroughly renovated from
entity_74,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton ."
entity_75,offers
entity_76,"These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screening ; and review by the Special Education administration ."
entity_77,include
entity_78,"The Nazis did however permit a single dress rehearsal in Salzburg , conducted by Clemens Krauss on 16 August , in order that Strauss and an invited audience could hear the work performed ."
entity_79,did however permit
entity_80,was conducted by Clemens Krauss on
entity_81,Sligo town then became an incorporated municipal borough with a Royal Charter issued by the British King James I in 1613/14 .
entity_82,was issued by James I in
entity_83,Tom McMorran joined the band in 1994 after Mark Portmann left and in August of that year the band released `` Sahara '' .
entity_84,joined
entity_85,23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .
entity_86,were made up of
entity_87,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow ."
entity_88,return to
entity_89,was held in
entity_90,"The British Army had been shown to be overstretched by the Crimean War , while the mutiny in India had led to the responsibility for providing a garrison in the subcontinent from the Honourable East India Company to the Crown forces ."
entity_91,had led to
entity_92,was providing a garrison in
entity_93,The ninth leaf contains a circular world map measuring in circumference .
entity_94,contains
